,review
32,early access reviewgreat fun game could information certain game aspect overall great thing play game afk base defence encouraging multiple session rather hour
33,early access reviewthis game quite good game something turn oo look interesting shiiiet ive 10 hour straight game provides multitude intuitive easy follow instruction make game easier play well enjoyone main thing personally loved game make game could potentially really complicated different combonations keyboard command instead keep really simple allows really simple easy game play overallaltough good game come drawback eg cpu defence style mode quite difficult start straight away rpgs shortly guy minigun could nerfed smidge order make easier player havent spent age p2w order progress game
34,interesting game would recommend short run get boring timei would say dev make update change example bring option troop etc
35,thanks 30 second watching guy get truck youre missing action dont know author fixed something command work pan action game playable find combination action humor fine consider gun friendly little game good waste hour
36,free game good played hour straight didnt get bored yes layout difficulty increase different game mode enjoyable pvp fun load yet still fun
37,rather cool gamealtough hard predict troop moviments example cant really see wall next border let troop pas notits bless atacking generaly area arent really protected well due way choke workflanking static defence pretty much reck defenceif developer dont want player create choke witch pretty much metathey could make border bit larger clear troop go thereif want keep choke make obvious impeding passing troop pretty good game lol
38,early access reviewa fun time killer doesnt seem p2w far got game one tiny problem though slow connection dont even bother downloading used work well even without fast connection sadly latest update cant even access game simply tell there connection error kick outrip gun fun lastedupdate 27102017 im sure developer sorted connectivity issue one update game run well really glad game definitely one favourite
39,early access reviewrealy good game suprised considering negative feed back store found great tiime waste good way realy simple good idea deffenetly recommending game everyone
40,early access reviewi tired cookie cuter made base ridicoulous ai idiot u call ur soldier imbecile wont go trough hole wall made focus fire cause original path even new path far better original fix pathfinding unit dissapointment 20 lvl 310
41,game may slightly pay win lot potential game seems little grindy however isnt bad found doesnt take much time get expensive unitsthis game may quite buggs glithces keep mind pc less month im writing
42,played ps4 age without issue hit half way level 5 stuck ive even ticked 6 couple time numerous battle keep reverting progress anymorewhy
43,game interesting thing economic system prevents better heavly p2w put place kind frustrating keep pace without trowing money unless play kill time way game job well serious aproach forget without investement frustration common feelingpros good graphic free game like style tbh like tower defense style build base bit bit lot stuff try experience system attack card perk unit etc make interestingcons paytowin instance someone invest real money get really strong stuff attack without grind end exeptions hour invested doesnt really worth 2h guy pas bc money spend doesnt work way time get picture ai act really stupid hilarious sometimes dumb cant expect much f2p tittle like many others regardoverall feeling game great play fun dont really care stronger guy fact better game even losing game blast made new friend end win win situation
44,early access reviewi find game extremely appealing look play sound vfx satisfying loved dropping fire bomb incoming wave troop class read clearly give lot room mixing matching change playstyle end think base building aspect really interesting feel like expanded upon
45,gun great free play gameyes u heard rightfree playignore pay 2 win babiesthey r lazy crappy player put time effort accumulate stuff ive played 150 hour havent paid anythingactually ive played much longer ps4 prior coming pc thing improved greatly timemoney advance way fasterbut mean necessary
46,early access reviewsmells like p2w 15hrs leveling army get really slow unless spent actual cash grind free actually play edit several hour playing confirm really pay win even complete certain daily anymore progress really stopped hence bye bye gun thumb
47,early access review like free play game always many way easily progress using real money cant dont want invest usually dont get much tutorial however gun isnt really pushing towards idea buy item order winplayers enjoy game without feeling obligated forced buy something although option however much willing spend easily fly player say arent going buy anything whatever another player buy player willing spend money also acheive goal obtaining item experience playing game quite enjoyable even addicting time online good well allowing choose player fight usually around level progression game kinda contridicts critic saying pay win game since never entering battle defending anyone may bought item using real money could considered hard looking free play game pay win go also great time killer like something else game keep pretty busy upgrading fighting general although game player come go would say youd keep time play often actually enjoy full game experience however isnt bad thing game work fit genre
48,early access reviewa fun casual game decent ammount depthits lootdriven grindbut dont really need grind anythinggame enjoyable every pointa different game modesyou attack base get attacked cpu real people offlinemy favorite part cant really lose get building damaged somethingyou lose veteran unit survive long time attack battle easy replenishif want defenseunneccesarry offensemy favorite part exactly thatyou always progressing dont really lose anythingits p2w since basically fight aiand common card get 3 every battle usually best card anyway 8for want help beating harder opponentsoverall enjoyablemy main gripe cant skip daily missionswhich mean stuck without getting new mission point cant complete missionother thatgood casual fun fair depth speed progress actually dependant good managing resource
49,game like mobile game without thelike needing energy attack disgustingly long upgrade time building unit 0 second pay winbrthis game mobile game always wanted made pc without bad control rest mobile
50,said plunder devs hadnt put patch game game fun server complete trash devs fix server issue go back review change said plunder devs hadnt put patch gameupdate say server issue updated fun strategy game kind refreshing experience clash clan cheap knockoff mention amount fun one looking hisher computer watching little midget fight blow building watch people explode fly cough burn death mention see devs take active role within community ensure user best interesting experience even though dont play game alot nice come game see new thing time especially update like woooow another thing find interesting currency based fighting encourages player fight constantly also building instantly built love rather waiting goshdarn week wall upgraded level 2overall highly recommend play like strategy game like play game kind like bed game
51,im going testing game second time previously unstable pc enough system resource play game game concept interesting fun play early review played became polished bug removedi write fuller review soon great detail performs hope give valuble feedback developer please pardon previous review hope try game yourselvesthis isnt reviewthis briefinggiving game another shot
52,game amazing like clash royale better add perk troop build base destroy enemy looking fun game play buy free thats top
53,free fault itme technically decent gameidea concept design finenot spectacular limited achieve type game iswoudl recommend yes flawed oh hell yesbut yehplay dont free worth look ou like td meet creep war type thing personally wont get 12 hour
54,early access reviewpretty addictive stratgetic people say pay win debatable still startgetic skils get high lvls plus get unit without paying anyways sooooi give 4 star
55,early access reviewbeautiful graphic game play difficult younger new player pick battle time right play intermittently subtle humor way character move music sound effect great game returned many time never tired something cant say game ive played
56,tldr1 cross platform play psn pc tablet sure2 candy obsessive organizer trolls3 grindcentric without cash investment4 gentle learningcurve47 hr lvl 24 yes spent money 40 ingame purchase gun ia f2p paytogrowfaster yes much true however ive found item suchas legendary perk card legendary hq card obtained purchase expensive chests10 key resource chest 15 hq etc 47 hr 4 key granted obtained easier alliance battlesin summation grind grind grind ughthis game lot fun personally 3 tact build towerdef type game game oodles variety reading review noticed player complaint kill box similar scumbag strategy however youre willing break bank game might consider advantage ive kod crafty kill box enough time learn failure slowing advancing army useful strategy try lining wall form pattern create bottleneck corridor maximum effectiveness 9200 pt cpu battle mainly using trick
57,love game lot im really piss game tho place rally point clear path make destroying people wall still go death zone path ing clear path make make angry game make ing computer go 60fps 1 fps 10 second make loud noise headphone destroy 1 ing wall please fix thatlike really thanks
58,pile horsethis game ai dumb annoying developer game ability correct like focuse fire rallyyour soldier dont know aim attack lol even enemy near base left start destroy barricade near go back destroy barricareds even enemy base send thier soliders attack track geass attack barricadesdevs sould work attack priority ai wtf
59,new update game terrible half game attacking player half managing base get attacked endless cpu mode fight wave enemy exchange currency reward however changed realllllly sucksyou still defend much harder get less half reward used getthere also need way buy card pack bulk take long kill game didnt really need new cpu isnt worth itthe game 10 defending 90 attacking spent 2mil munition 40k pack 1mil munition 5k card pack got 7 copy common attack card needed tactical boots3 million munition spent try get cardsi dont mind spending munition 2 hour take buy card making game worth especially trying get 100 tactical boot allaince season got 7 literally stack hundred card
60,early access reviewfun first pay win shame coz fun game pla longer play realized cant much v player sink cash getting umber legendary stuff really hard getalso wo pay must grinda lot grind
61,early access reviewa lot people describe game asfun pay win agree fun long actually get matched someone beat review cover point consider important keep review long honest rant game actual reviewmatchmakingit first started nice decent challange round win lose hour changedi came point matchmaking gave target either steamroll twice basepower four time base defense card maxed perk hero defending basenow huge problem well dislike roflstomping opposition fighting something shouldnt even able matched yet seems matchmaking mostly go winloss ration mean someone throw wallet screen play much matched sooner later game doesnt care get unit defense card actually deploy matchor twice many defense building building level youaii seen fly bump open window consider smarter ai game admit making ai easy excusable troop going forward bump wall go way back try new routeone would think deploy squad squad try stick together nopealso couple hilarious bug including wall completely block way troop going back forthprobably trying outlast wall somethingor truck gunner wanting shoot tea time somethingattackingso attacking get choose target get see unit using defense card many structure possible lootthis really good system bad thing fact dont know exact layout base goodelement suprise attacker badyou dont know attack card usethe complaint system show unit enemy using unless click button get info suprised minigun troop ready mow poor grunt option repeat attack basefor premium currency ofc since never used dont know actually repick card really opcardscards make every attack special split 2 category defense offenseattack card either buff unit way debuff enemy give extra ability start round default get 3 ability card start round really good unit buildingsmajor issue never know card need counter base pick 05 card start attack depending levelor pay 5 startthe card pick burned cant use ever even dont actually use themdefense card give extra unitssome really op lower level play defending give base ability cast version attack card get attacked thing rare really rare powerful 1 good troop card base enough beat attacker level lower card used get attackedand make thing even tastier throw wallet screen pray rngesus hope getting something good probably since buy pack actually contain something common card goldthe premium currencypremium currencygold game perfectly show army strategy win war money win war need building need unit want able use unit want unit stronger foe want use 5 attack card tier 1 ability destroy defense structure enemy 3 defense building want hero cash foolbut really every thing named get playing game long enough cash speed skip whole processnow paying skip progress badto honest major issue fact matchmaking dumb understand card give advantage defenseoffense wl ratiocratesoh boy box open open free getting random drop key quite rare playing month think got 15 may think oh cool 15 key 15 box right point game sadistically laugh someone decided put 25 lock useful chest game also throw money screen open immediatelybut hey atleast chest common reward one would hope stockpile ever decide open later ooooh noooo cant stockpile crate destroy magical item get scrapping chest 1k5k ingame currencydepending chest wrong compared much could get actualy ingame currency card nothingthat slap facesummaryfun game plagued horrible matchmaking pay skip feature tripped pay win lineperhaps one day change matchmaking actually get matched people able deploy unit defense offense perhaps would happy could change review positive like initially inteded give gameprosfun addictive gameplaymany unit useevery unit feel like place somewheref2pcard mechanic really fun usepretty visualsgood audioconsai derps quite oftenp2whorribly optimisedgame seems rendering level loadingend game screen overlaymatchmaking horribleat time feel like mobile game buy premium message offer poping left right
62,early access reviewif liked clash clan boom beach enjoy game pleasant art style proven game archetype supercell game hand typical topdown strategy game rely mostly troop ai part reliable odd glitch pathing gamechanging abilites without ability preview enemy base attacking prebattle loadout less strategic crossing finger hoping battle begin still unable see opponent base troop already engaged removing ability formulate thoughtful plan attack random ability drop add luck aspect furthers strategy without spending large amount money microtransactions progress hault plateau paytoplay item kept far reach freetoplay player despite scrap p2p item deposited inventory key gold chestsa smart player able dismantle base ease collection dog tag progressed matchmade player far beyond personal base power level becomes efficient farm 1skull scrub want grind forward base unstatisfying experience win battle blindfolded summary game massive time fill f2p player seems far expensive offer p2p content would suggest looking long casual grind
63,game feel like designed advanced being provide least gratifying gaming experience maximum amount population possible however could said clicker hero least game wont breaking mouse downloading questionable macro software play behalf ever increasing played hour blame sunk cost fallacy pay win technically however something nefarious play proper metaphor gamer going free route would gravedigger going daily toil tooled spork everything said thus far viewed experience free playeras paid player first question would answer simple one go path purpose entertainment perhaps exercise abundance may healthy gratifying indeed note however might get hiring virtual assistant play behalf instead making game purchasesimprovement ideasignoring aforementioned free route player thing would improve gamers experiencegrid placementa way share base layout templatesless potentially seizure inducing animation feel gambling inspired make low spec game run like high speca way undemolish without starting overability skip around replay vidsfilter choose opponent take command card account ie 1 skull base 5 command card probably shouldnt listed 1 skull basesummaryone shouldnt look gift horse mouth even trojan one also quite nice developer offer free game run multi platform child dont many option spirit put yes recommendation however read fully completely make decisionsthoughts level 30 played lot cpu defend doesnt level game recommendationim beginning think game sort algorithm consistently give opponent edge difficult upset making game purchase isnt even taking 3 skull opponent consideration complete jokeyou also know game going plain give impossible opponent even 1 skull even theyll sometimes look like fresh meat command card 1000 battle point 1 grunt standing front default uniform looking lonelylosing game isnt pleasant either put lost map put defeated real big screen tell truck destroyed time take dog tag veteran used last ditch theyre dead attack card theyre gone surrender youre saving couple minute go play russian roulette choosing next opponent kind funny much game go way crush psyche modern era participation trophiesyouve heard 3 step forward 2 step back similar except something like 15 minute forward 12 minute back probably got advanced math something add variety dont recognize pattern im simplifying sake brevity ive grossly failed due length bloated reviewthe time ups particularly painful 030 second away win common ive actually time im tenth second away win missile blew opponent hq youve defeatedtime screen coming doubt im oneskillwise enough aspect within realm control player dont know opponent base going look like attack strategy greatly simplified rally flag special kind say everything lot time youre watching unit marching death like lemming there nothing itthe usual question end day fun painful keep playingfor last line reader dont play game
64,game average go tower defence gore flying body entertaining card system could use work overall sollid titlethe one thing keep going thru mind model remeind green army men youth passion passed child buildsetdestroy repeat whre good time probably stuck atm
65,early access reviewokay peope let real programming really f toughi couldnt log even downloading game due fairly widespread connection issue server devilish 3008 05 error put many comment various chat forum within day two recieved reply day later recieved personal friend invite one developer went rather long process gather information cmd prompt sent precise asked detailed question super helpful write chatting dev team trying get bottem issue yes similar mobile game yes game purchase necessary way programmer earn living free play game may add team incredible trying track clearly extremely tricky bug pleased response effort team deserve even game exactly witcher 3 something
66,early access reviewbasically forced write analysis could play uneasiness informed game user interested game would explain pencil perfect gameplay graphic function game knowing early accessi would put 2 handles1ยบ first glue subject cosmetic soldier mean difficulty getting simple helmet propose cosmetic obtained addition box winning battle destroyed enemy tent think make lot sense army soldier sleep tent think sleep helmet well must also said game lot fiction realism theme least try supplement thati mean destroy enemy tent give one several random helmetsby way yesterday opened box touched stanhelm helmet dying havebut problem issue able put soldier seem rightthat greatly limit personalization army say every user uniquebut hard make army unique option2ยบ recruitment price think price pretty steep example recruiting flamethrower unit cost mistaken 150000 ammunition another example command cost 225000 let see im saying reduce price mean overreach excessive priceswell thats say game good advance accessas say game think game futureby way game recommended user davisito23 case give kind rewardi recommend game
67,early access reviewoverall great game microtransactions would rate must playthe game solid somewhat relaxed rt tatics pvp fighting player designed base computer controlledthats thats gameplay doesnt sound like much upgradeswinning match give munition used upgrade base designa failed attack base another player award munition bonuseswhich use upgrade attacking force base againit constant game figuring put resource next help next attack make next raid much easierif everything game must play however microtransactionsyou buy extra munition bonus gotten anything rng nonpaying playercan buy anything get eventually cosmetic earn gold aka money currency rng extreamly low ammounts technically possible get everythingdoes fighting people pay cause imbalance yes tell level player fighting telling 3050 level higher shelled 400 largely impossible unless slathered cosmeticshave fought people clearly put cash game yesdid feel fight harder yes noticible difference base unit diddo still recommend game anyway yes extremely fun game try play atleast day despite microtransactions solid game largely put foe feel impossible
68,early access reviewincredibly straight forward unique playstyle repetitive look depends creativity playervery fun unique exactly tower defence rts game addictive playstyle cant sing game praise enoughgreatly recomend
69,early access review15 hr far simple premise fun game like old school side scroll interface need minor tweaking overall beta free game like itupdate 111717 play couple week starting really dislike new update alliance war placing opponent 4060 level higher reward getting lighter expereince getting way smaller game somewhat fun still starting wear issue stated elsewhere going pay money troop type win
70,early access reviewactive dev teamgets update every weeksthey actually responded bug discussion unlike gamesyou still get unit want paying range couple hour couple weeksits freeyou also get free gold every couple level pas know give like couple save actually 100 300 gold waste random stuff like pmy brother like gun bot doggo got sharpshooter hero still level 11i love gamei dont know say mixed review soon gon na better
71,much pay2win game would better cost 10 example game sometimes unbalanced attacking otherwise fine game relaxalso bug always press friend need restart write smth like network error game need restarted610
72,early access reviewguns uppositive good idea addicting lot fun play ww2 commander good integrity game early access wait structure build negative lot bug little bit pay win horrible matchmaking example raiding base im level 2 base level 11 already owns op unitsconclusion good idea different style still lot work done ahead
73,170 hr review spend money would seam better cheat almost coaxing spend money ive seen thing unexplainable thing playing game week would begin understand however recommend free download gun provided gob fun time insane amount stress anger moment believe im top 30k overall begin see clear spender like call order beat spend money cheap even sale good imo ready spend 20 buck sale compete top tier player pvp alliance battle great dont run battle card run way getting pvp guessed spending money would pay 40 maybe even wont spend like telling ammount would end compete pay play take away strategy greedys
74,prosfun gameplaycons micro ing transactionsdoesnt really get update except bug fixesthe player playing longest usally strongest meaning player usally dont stand chance offense defensecpu defense pretty unfair ai sends wave heavily armed enemy trying barely survive miracle airstrikes
75,actualy saucy definetly suggest player whod life new taste tower defence attack well defend defending side game defend player ai compainlike automatic attack ai progressivly get harder also attack base seek flaw patch weakness others see first attacking side attack player base wide variety difficulty ive gone basic much combat improving card used ingame ability select type soldier youd like use battle ive scratched surface reveiw definetly suggested tower defence player
76,see people play 30 minute say game badbut side see people played 200 hour say good im gon na trust
