,review
10,first mmorpg ever played lot others played since mirkwood day still enjoy playing game lot reason although amazing looking game comparison lot game day charm definitely win heart highly recommended tolkien fan
11,love game one first game still one favorite day admit havent played take long time load thats thing would try fix lotro
12,ive playing game since summer 2012 though recently steam easily one best game ive ever played certainly one favorite world massive fun explore quest enjoyable actually want side quest story quest really engaging many point find wanting know happens next lore middleearth well represented game feel true source material even though take liberty one would expect community good one almost always find somebody ingame help even cant fellowship quest gain level definitely within reach nine class ive played loremaster theyre unique fun play hunter particular good beginning class since wide range ranged melee skill quick travel skill lifesaver im level 70 main character thats exactly sort pace game requires nice easy game really draw even im actually quest deed objective still love going around exploring middleearth turbine created game stress beauty game enough every area unique beautiful rural hill shire torch lit cavern moria new vista amazes cant wait see adventure take nextoverall great mmo great allaround game would highly recommend anybody interested world middleearth
13,wonderful computer run graphic well even computer lower setting graphic still allows user play game like everyone else lorefriendly definitely recommend got hooked playing since
14,three ring elvenkings skyseven dwarflords hall stonenine mortal men doomed dieone dark lord dark thronein land mordor shadow lieone ring rule one ring find themone ring bring darkness bind themin land mordor shadow lie jrr tolkien lord ring
15,played game 5y loved im one rare one want complete everything deed quest yet make end game content way get solid character running group difficult stuffthis game many layer old tolkien lore never used movie achievment process kind unique thing item intracite puzzle group dungeon instance challenging even level content custimizable wardrobe far beyond anything ive seen game pet horse collectable kind thing even map worldif want game beat week content reach end raid lvl gear get want mind game lore ancient history every stone u see join whole world waiting intice
16,like lover lord ring movie seen animated movie 1970s love game dont expert everything tolkien however place reference lore wrote real life place jrr tolkien visited
17,game decent released way isengard expansion developer left game mainly based solo play along say free play unless youre willing put 100 game wont see end many lotr game mmos better one wouldnt waste timeupdate 2 year later new devs taken game people standing stone great job releasing content game game headed right direction right previous thing said game still expensive far much money take entire game however gain lot lotro point early game allows access lot content youre looking live life middleearth id recommend mmorpg would espcially one looking pvpfinal review thought update 23 ive game set recommended time playing ssgs recent update stay way permenantly here ive played game 95 year watched go subcription based game also watched go two development team expansion brought new tool game could used past expansion scaled level allowing player experience content matter world moria brought u legendary weapon mirkwood brought u skrimishs isengard brought u powerful dungeon raid always remembered east rohan brought u mounted combat helm deep brought u big battle tool continued used end mina tirith thing along crafting daily allowed many option player equip gear needed take endgame content seen previous update high hope standing stone game took beloved mmorpg started releasing content surface saw lot content put however played see bad situation ssg ignored previous tool scaled player level leaving play new content typically broken month many loot table dated dropping level 105 gear turbine left others dropping 120 bug wont get fixed month aside bug scaling completly messed lvl 50 character 3 manning 12man raid lvl 120 character struggle lvl 105 raid ontop problem game endgame right decided jump wow bandwagon create legendary server supposed game classic server classic server identical live server level restriction mean us modren class skill tree lotro store travel system instance finder etc biggest cash grab ever since added lootboxes game drop better gear rather cosmetic ssg decided produced bad comparision rest game game better turbine developing created server content lotro fun back day monotized focused game left many thing behind thing keeping game alive jrr tolkien
18,still 9 year since game lounched one best mmorpgs ever made fact game still active still added content make game unique every mmo player need played since closed beta 1600 hour spent game counted ingame time guild still active much year yes elder member still graphic dont look like high end title ye still isnt trash much key feature fot time game new like hobby great farming nice crafting exping weapon raising horse housing everyone high lvl player lot game tried use philosophy lotro theyr little inovations mmorpg still instaled 9 long year im still loging back long gaming session im 32 year old grandpa strong bond game great scenery lovely soundtrack cup nostalgia sunday afternoon know today young player lot new game chose high end graphic etc game youve got 9 year ading quest clicktobehighestlvl like wow month questing month collecting month making deed month making unique named stated weapon etc try friend best experience put arm saurons fire fun
19,game childhoodlord ring great movie series even better book really neat made online game play friend
20,far favorite mmorpg especially since stay true tolkien lore pricing model quest pack expansion purchaseable material also fairly reasonable 1010
21,much need said game mmo first mmo vast universe take time physical world explore obviously exageration logged day game even enjoyed thrill teaming friend either lan party internet seperate house new mmos really like give shot one may surprise you45
22,started lotro journey right around time rise isenguard came steam dont let 104 hour fool ive played much longer day lotro best mmo experience ive ever however game used reason stopped playing though writting review ive logged 44 hour might reason someone else might enjoy ease lnadscape content since mentioned ill start landscape contentmobs back day landscape content wasnt something powered solo class little interaction player challenging spot portion needed team providing great way meet new friend ease landscape content ability power might plus player eye tho like modern setup blitzing endgame thing disenchanted game lack groupingnow dont get wrong wont problem getting group endgame gear grind mean find plenty group action endgame like run instance onlevel action isnt really yes spam world chat 1530 minute perhaps get party going something count isnt problem prefer solo grind endgame dontnow biggest negative way would 100 still recomend game anyone love lord ring anyone looking classic style mmo even anyone who never tried game tolkien lover wet dream graphic arent beautiful anything world breathtaking wouldnt complete review didnt mention one best thing game kinship community kinship nothing new theyre guildclanect mmos make special game community kinship help new player kinship roleplaying kinship endgame everything community one nicest helpful mature gaming community ive ever part community one big reason never truly done game closed downtldr aged like u amiright part well problem nothing super major still one best mmos humble swordsman opinion well worth download side note go game expecting pay money grind lot metric ton get beyond f2p content time need know want spend money keep playing pro tip buy quad pack sale get 4 expansion pack dirt cheap need couple quest pack last two expansion go way endgame also paying one month vip optionally canceling well worth
23,game dated thats sure howeveras lord ring fan game way stepping world book movie detail payed lore well worth experience fan graphic still breathtaking time even game age gameplay experience seriously rider rohanjustdo
24,ok game awesome really good multiplayer brilliant prologue however quite long feature little annoying instance money cap premium member also fact cant sell multiple thing auction free play person premium member unlocks many perk reccomend getting premium get feature
25,game much better runescape got dlc im fun guy try people nice helpful downside game quest pack suggest buy quad pack level 5085 give 8510 recommended mmorpg player
26,game end game pvp kind sad hey every game best pvp game easy play casually gave nice break dota 2 oh middle game get run store without wait 45 minute ahh refreshing labelled free 2 play make yoru hero strongers trait need use turbine point earn playing easier buy certain area game need unlock turbine point alot might require purchasing expansion gain could keep playing free enough point buy game reminds dark age camelot graphic play style even though graphic bit dated still look nice play machine laptop might even play window based tablet matter decent game though mid level fun far
27,iv play since release use none steam luncher tho great game 1000 hour game play know becaaue 2 guy alone 1400 hour game play crafting got extra craftign crit better item crafting lv good feature vip reward good new talent pvp monster zone great fun running wolf pack monster
28,game extremely fun never dull game strong point story line similiar one token created lord ring near rift nothing ever still really fun play
29,though old beautiful game true tolkien world middle earth tolkien fan would recommend game world alone never forget first time saw weathertop entered mine moriathe quest feel old mmos rather grindy time main epic quest line well written pull game make lesser grindy quest bearable would highly recommend reading quest text main quest line really make game much better creates lot immersion community game nice helpful dont know play rp server never trolled anything asking question world chat people seem friendly helpful auction house pretty empty often also overpriced asking chat never wait long find someone willing sell youre looking
30,personally love game im quite biased im nerd anything related tolkien work mmo immersive fun friendly community active player base youre looking good middle earth game
31,brought like 20 friend game got kingship way electing fellowship leader lead u want free part great game give 910
32,right bat must recommend game anyone love rpgs donât roleplay much mainly play c go get away fast pace style c go game relaxing yet twist battle need rpg cut chase itâs free ya donât like itdelete try instead reading ðÿ review aw3s0m3 game
33,playing game almost 5 year im really satisfied new content delievered regular basis good game exploring type tolkien nerd competative player looking top class overall good game
34,product received freei revise review playing game fpr approximate 1600 hr dissapointed game play hunter best fighter many hr decide revamp game completely demoting hunter dont know hunter longer power shot without become easy pray became vip hunter afraid must cancel subscription good job whoever im sure hunter feel way wonderful game
35,ill admit havent played many mmos lotro one best ive played youll enjoy game somewhat youre fan peter jackson movie youre fan jrr tolkien classic book like youll go crazy game another clever thing turbine done ingame store order buy thing like quest pack warhorse dye use turbine point get turbine point could buy themor could complete deed like many quest killing many orcsgiant fly thingswolvesbrigands finding different location game world one big problem game riding riding riding skill need buy store cheap 95 turbine point considering turbine point get deed 15 thats 30 quest thats quite lotin short want good openworld mmo great story pick uppro tip find buy boxed copy mine moria expansion pack get extra character per server vip month course access moria
36,people negative review forget game officially released 24 april 2007 added steam 6 june 2012this great mmorpg one best time right still great game people think playing story one go movie thats completly incorrect thinking playing game mindset please look another gameyou get explore middle earth character class race yes walk alot thats 99 mmorpgs sht load quest easy crafting method season event year long summer christmas festival example alot raidsinstances go friend andor party good kinshipguild system make sure empty guild taking name simply said need total 8 player want kinship stay alivein term gameplay similar world warcraft remember similar equal pvp included focused certain locationsthis game used pay play free play fortunatly pay 2 win shop get item use lvlingnot powerfull average cosmetic get play game participate festival need buy riding token shop thats nothing worry quest give premium money allowing get riding skill also purchase every item expantion online lotro shopoverall still great game depends look dont go comparing story movie
37,nerd love lord ring get love game middleearth fantasy come true game combat great doesnt matter love work godly man named tolkien much lore game fantastic world continuosly updated stuff added also incredibly friendly community
38,said lotro lord ring online addictivethe possibility character creation close endless race character class professioni added region diversity adventure give try cost nothing
39,huge fan lotr jrrts world general looking forward playing game soon announced unfortunately couldnt get installed long time steam came russia chance play form opinion really liked graphic much better expected mapping world nicely done lot great beautiful location interesting storyline first unfortunately get rather dull perform ton similar quest get xp get stuff without paying money truth told game like free online game try squeeze money play without much difficult end get plain boring cant level fast enough keep main quest youre stuck small quest place also take plenty time go place location location quest quest lot server played landroval plenty player however still difficult find people team quest theyre busy running around quest end get rather annoying need find one item youre killed right tomb hallway something thing loved holiday challenge fun reward worthy good spirit competition would recommend game though individual whether keep playing get bored point know im patient person lineage ii quit lvl 69 maximum 100 surely better thing life
40,played game 34 year roughly dont play game vary often good standard mmo based jrr tolkien fantasy world brings old celtic norse mythology today lore game much bigger since started playing sometimes much game play main story practice toon character crafting skill go fishing chat player game whatever theyre willing mood roam around mini version middle earth like hobbit without hill dwarf without mountainto put rest short community good depending server gameplay good serious pvp community even though lost participation compared year ago drawback game ftp option feel like free sample free play allot like star war old republic micro buying still technically pay play like wow one still fun ftp option generous star trek online riftso yes would recommend game nearly anyone
41,lorecoherent quest narrative one immersive mmo world immerse meet favourite character beautiful place middle earth offer freejust dont expect innovative gameplay mechanic
42,game wellin one word masterpieceit open user whole middle earth whether watch movie read book lord ring people know deal game perfect every fan lord ring play
43,overall id say game lot fun sure pay lot high lvl content well made game put lot hour without even paying relaxed environment great community back like communityroleplay aspect mmos game
44,lord ring online pretty rock solid mmorpgplayers find dropped right action middle earth regardless type character decide play event lord ring online lotro follow event film character follows wake fellowship aid free people middle earth force sauronplayers choose host class ranging dp tank healer support list class listed belowguardiantankwardentankchampionmelee dpshunterranged dpsminstrelhealerrune keeperdpshealer hybridlore masterdpshealercc support hybridcaptaindpssupport bufferplayers choose race listed belowmandwarfelveshobbitsthe game feature group play level mean fellowship made 26 player larger fellowship converted raid group 624 player ton instance middle earth take anywhere bree town helm deep moment player get live middle earth expiriences fighting evil mordor isengarda easy use crafting system also place player prefer craft benefit player many different crafting skill availabe tailor player specific taste great mmo people newer mmorpgs mmorpg veteran simply want taste flavor everything user interfacce easy find clearly explained throough tooltips player desire toggled setting menu easy pickup addicting game pick free whats like
45,good game dlc expansion content etc relatively expensive dont want grind turbine pointsotherwise fairly good free play model game run well potato look good enoughalso roleplay community landroval laurelin youre sort thing arent pretend theyre immersive npc
46,played game year important part childhood believe first played game went free play fell love even though pay play content time somewhat intrusive longer particular desire play grown interest mmos play game available style lotro would absolutely first choice
47,explore middle earth participate behind scene action battle dont get bookd movie tolkien would amazed see creation turned today
48,love game returned recently leaving shadow angmar thoroughly enjoying game beautiful landscape well written story decent skill tree system leveling doesnt feel fast
49,well last dear friend shore sea come end fellowship middleearth go peace say weep tear evilgandalf
50,product received freeif love tolkien book lord ring film series even hobbit series game must highly recommendedthe core game free fownload play rest must paid play age core alone still great time map huge detail variety environment character graphic beautiful story quest fit perfectly tolkien world free player play character type class character customized whim creation play dark side wish choice character class type influence start playing choice weapon ability item initial storyline quest etc experiment bit limit free character create character multiple server character customized ingame clothing item though premium paying player greater choice buy item easily free player also ingame housing transport storage build huge collection item bit patience found player helpful friendly play solo wish joining player support quest battle etc highly recommended chat system welldeveloped bewildering first new player range quest mission etc big varied many way play game explore collect battle craft develop character way choosetry great
51,game interesting one first mmos tried playing think hero three kingdom predated trying lotro interesting experience time game aged well enough action still spurt biggest problem first started playing lag would kill movement around time arrived breeland seems eased whether better computer connection people farther sayeach class rich detailed right combat funit also brings lore attention experience lord ring moreorless confined movie
52,great game allround expasions worth feel need gameplay nice game play friend great combat beautiful graphic lengthy list quest complete one problem found game tad buggy whatever reason verify file steam client redownload game anything need updated turbine release steam steam portal lotro otherwise good game round totally recommended even havent watched lotr havent game still good 2016 update
53,first mmo rpg im glad say enjoyed much cool take tolkien universe beware many micro transactionsthere alot many tempting
54,started playing lotro launch stopped playing many year recently come back inspired hobbit movie im really enjoying itthe free play model generous absolute ton content play free including entire epic quest really good plus playing normally earn turbine point used unlock nicety ability ride horse onits content rich game great story amd there also lot fun stuff festival community one nicest one mmo space rp well catered rp server
55,love game play tempo alot world even free editionthe expansion realy great start free edition see like gameplay ofcource like mmo rpg higher level feature like know lotr hobit jr tolkiën fan sure story line alone although know anything story learn gamewiselike wan na play want full feature game start buying steely dawm starter packand would go first fo triple pack helm deep base premium edition identical except tyhe premium edition offer better gear ingame turbine pointsi used play wow real long time catacalism stopped almost year untill latest expansion came got 30 day free play played lev 85 max cap dont like everything wow must raid alot alot epic dungeon cost much raid goups like used beif wan na raid run heroic least know role hate people think know start bullying others leave middle gamefind guild lotr friend play fellowship playing style awsome
56,maybe im getting old dont patience old big fan lotr mmos couldnt believe game free remember thinking wow could missed gem especially reading great review game got game reminded bit warhammer online mmo loved much reason game survived long lotr fan decent fanatic playerbase wont let game die need newbie come along feed boost ego dont mind aspect player warhammer online made uninstall game fact pay get ahead everything mean everything every quest every notification get go lotro store unlock go lotro store make faster absurd none review read mentioned probably focused good get devs need make money come one point thought well im adult job free game spend little cash took look lotro store shocked vip year like 200 dollar want buy simple horse get around 25 dollar everything expensive game sooooo old think graphic zelda n64 looked 10x better quest consists talk sally took talk barbara took go back sally tell barbara said go back barbara tell sally response theyre 10 minute apart without buying 25 dollar horse im sure game get better put hour already tell would spend significant amount money compete make worthwhile like rewarded life grind levelsitems dont like rewarded much cash spend
57,present video passage game lord ring online precisely main storyline proudly called epic numerous side quest scattered throughout middleearth enter passage since part task like kill 5 goblin bring 10 wolf tail rare exception worthy attention main storyline interesting importantly closely intersects plot book lord ring hobbit meet lot familiar character take part familiar event properly ponostalgiruemi make reservation video passage created order consider plot game compare book lord ring hobbit run whole game skipping past description quest endless shooting monster passage carry main purpose suggesting something player although without course rather nostalgia combined analysis plot connection original untouched universe
58,first pc game first mmorpg im huge lotr universe fan im enjoying seeing place thing book people already playing game super friendly helpful complaint far
59,strongly recommend game classic mmorpg lotr fanlotro immense amount side story lore v traditional moviesalthough game quite old graphic still considerably good dx11 dx10 dx9 setting allow backwards compatibility older machine laptop choose download hd texture choose play 1080p world takingfor free play game start everything need decent amount character creation selection decent amount storage space access beginning area quest well access two area quest pack youre lvl 20 need purchase quest packsto purchase quest pack four choices1 go vip get access part vip2 purchase pack lotro storesteam directly2 use real money buy ingame premium currency purchase them3 create grind character grind tp turbine point purchase themyou earn ingame premium currency turbine point playing game completion certain quest deed grant set amount deed passive quest example kill 100 wolf would deed use certain skill certain number time deed able grind 150tp 1 12hrs one hint involves creating second character elvish certain quest deedsif youre crafter game indepth crafting system also simple wrap head around added bonus certain crafted item allow name every item craft character name crafted item descriptionif like quick jump battle log feature called skirmish closed missiondungeon take player go solo either way hack n slash skirmish unlocked around lvl20 although dont get drop foe earn skirmish mark spent skirmish camp purchase armor weapon rare crafting material cosmetic attire etchere video 4 month ago recorded solo skirmishhttpyoutubee7utb69ixlsif like play group people two types1 fellowship2 kinshipa fellowship standard everyday partygroup youre quick quest standard fellowship maximum 6 raid fellowship 12raids extremely difficult extremely easy find usual pug pickup group fail unless much higher level player experienced veteran player leading way raid also ever done endgame unless youre kinship many hour wasted raid nothing return costly repair billa kinship standard everyday guildclan group people prefer raid quest event etc kinship also gain level based time kinship reach max level 10 max number member 1000 every character create different kinship kinship also kinship home similar guild hall come fairly steep cost lower level kinship allowed 1 home kinship leader decides access rule though kinship member generally full accessevery lotro account allowed 1 home character purchase find treasure cosmetic gear spruce place make look want also purchase additional storage chest keep extra special itemsall game free download try itif like casual still exciting playing pace even crafting never anything else game youpsalthough say ive played less 100 hour never really need use steam ever played lotro nothing else played straight nearly 4 year also beta tested ive seen game change many numerous time still hear call dreamstrying drag backback neverending world lore
60,amazing game survived long time get hate ton player still doesnt stop many others getting time play enjoy played game 7 year hour steam nothing compared actually played yea hooked long continue hook looking starting add help even play together sometime
61,greatest mmorpg ever played hold true tolkien story developer added even moreits possible encounter frodo hobbit hole also let saruman fling tower need say moreplay game love lotr
62,game first mmorpg ever got say new genre confusing lotro make simple community best ive ever seen game im level 8 level 84 came showed rope basic buying housess getting horse stuff like suprised pulled lute starting playing skyrim music asked didnt say much explore 12 hour currently belive there much fun far 810 mainly im still confused alot thing thats worth getting
63,stummped beginning founder member ive played begining totallt understand grype pay win paid game free get monthly coinbonus year buy expansion graphically requires update overall iseven go far lvl50 there 100 hour free play nevere pay wini dont best kit best character 1 level cap expansive quality quest lore completion ive even gone mordor yetas world tell laurelin pretty active server grouping dungeon huge hastelif thats want doyes power lvlersbut completed skyrym etc 8 week phhhh
64,world lotro truly feel like world beautiful scenery feel vast coherent tantalizing explore area place town village read book seen film encounter famous character story lord ring ongoing behind scene lore player dream since always much delve deeper wishthe downside feel game player character outdated even unnatural feel contrary rest world fantastic natural feelthe epic quest line joy recommend take time follow actually story quest
65,playing lord ring online brings back middle earth game known awsome landscape texture everyone play game love mmorpg u love lord ring movie book
66,okay anyone hating review know big bloody pay win doesnt really matter pve pvplike u dedicated money upgrade state point u would probably able beat lv 100 would hilariousnow let get point game anaddictive f mmorpg im right iv playing 4 day already hit 27 hour game hasnt aged still look pretty hard core graphic fan still updated day pretty basic combat system hard master skill skill use first etc skill dont even use mouse put hand keyboardthe game hasnt died yet think going people still starting game server pretty active community mature stupid thing saw world chat dont say sh f ye kid play like barely understand play game kid going play kid lose child hood pretty quick dont worry game money turbine u earn playing game skaying everything crafting key game youll need couple friend craft u need multiple toon crafting u get good sh full quest much dialogue much talking maybe line u thing would cost fortune get many voice actor dont worry cut scene story sexy voice acting also trust say massive ull running urup worth long run first mmorpg good first impression ill give 910 didnt f yetwhy u stili reading free go ahead already get
67,going rather long review please take couple minute read youre considering playing lord ring online 3many people said game dying either scared people away even starting play pushing away old player wish play say game dying last leg anything sort reason people steam say steam show people playing lotro steam amazing game available still available download website game flourishing community many helpful people would happily start playing give game chancein next section review think pro con game prosmany friendly people absolutely love play together waiting youflourishing community answer question commentsfun engaging content keep hooked hourssimple crafting gear leveling charactermany different class choose fit playstyledungeons waiting friend plunder themthe best gear game crafted player bought cash shopconsmany server decline population move brandywineoversimplified craftinglag spike highly populated area expectedlongerthanusual server downtime simple repair maintenencemany thing still bought cash shop personal conno real endgame yet plenty gearing skill tweaking doyou may notice crafting pro con mainly last massive update turbine made crafting super easy still fun leveling characterif read review agree disagree said magnificent game go ahead send friend request talk youre new player returning player found review helpful find brandywine server even better send friend request always happy help chat 3
68,today best mmorpg played impossible get bored playing game middle earth provides many incredible adventure full plate like tolkien literature
69,friend mine recently introduced lord ring never seen led getting game say really enjoy like combat system overly complicated many concept within game easy grasp even someone fairly new lotr universe sometimes struggle thing like map meaning hard time going right way however believe due new game feel get hang continue play amazing game
70,like game huge pay win small thing devs fix damn map absolute garbage cant findwith people way get town fix thatbut whole pretty fun wish wasnt much pay win pretty bad
71,cant believe havent found game huge lotr fan ive playing mmos since everquest got ta say well polished game great lore good community devs made game make sense customer service good ingame problem within 5 min submitting ticket issue resolved pay little money unlock thing well worth 1010
72,lord ring online way experience world middleearth great job walk alongside key figure story making story alone enough keep everything else bonus
73,game wizardry literaly game graphic 2014 look dated best however find charming entertaining game one awesome comabt system standstill look gameplay combat huge many move choice insane game fun ever update game yet crash id say descently stable game consists idiotic quest like fetch quest ever still awesome quest enjoy game say least game slightly become pay win type model however interesting overpriced thing unless shell cash buy nonetheless love game crap pc run high ultra reccomend game people arent graphic nut get game one adventure
74,tldr version solid game entertaining slow casual playing enjoy leveling dont even bother think endgame consider skyrim except tolkien might occasionally run peoplerp laurelin good find right people placespvp monster play vary server mostly rather dead dont expect pvp balanced almost focus gameendgame raid boss said dont bother thinking focus enjoying leveling progress wont fast endgame isnt grand enough worth rushing way thererambly versionfirst important thing really consider free try game rather free play true earn turbine point money within game quite lot easily dont mind grinding subscribing still vastly better actually want play game without significant limitation remove turbine point though honestly shouldnt think huge drawback f2p p2w game still rather new thing common model mmos long time require subscription lotro wasnt initially free eitherthat aside wouldnt recommend game usual adhd mmo button smasher kiddie one thing combat system queued eased still significant grinding involved game pure kill 300 wolf x grind straight called deed earn stat boost turbine point title thing completing gameplay purpose stat boost trait important however type person love put music audiobook even watch tv sloooowly advancing character game awesome yougameplay alright admit greatest movement pretty fluid though animation bit stiff skill dont feel streamlined feel there lot redundancy skill many button press combat queue bit clumsy unique give certain class ive found annoying still planned combat relatively slow result also minor ui annoyance take getting used stack splitting vendor item straight inventory need use vendor ui drag drop lot plus side rearrange ui exactly please also get nifty 3rd party skin youre plugins well graphic bit dated unless youre used always playing newest shiniest game shouldnt bother overly much however overall atmosphere music scenery amazing especially tolkien fan even arent rp expect one would appreciate first time see valley rivendell open watching sunrise shire mention many iconic place mentioned book seen moviesthis fun game enjoy tolkien world casual grindy pve casual pvp amount rp social people community generally friendly shouldnt trouble finding kin guild suit taste lonewolves plenty solo content part dont really need group either
75,great mmorpg explore every inch middleearth except closed region added expansion pack time middleearth fan lotro favorite
76,rider rohan expansion especially around time mine moria expansion easily best mmo market fantastic game great visuals story best community online game ive ever associated turned awry presumably head warner bros interactive levelling experience 175 fun ever thanks horribly uneccesary class change among thing experience desecrated thankfully newcomer still able get enjoyment marred product though returning veteran undoubtedly dissapointed seriously helm deep battle awful mounted combat even worse
